StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_begin,relig_intellect,relig_ideology,relig_intellect,relig_ideology,relig_practice0,relig_q4,relig_q5,relig_q10,relig_q11,relig_q12,relig_experience1,relig_experience2,relig_experience3,relig_experience4,SOM_q1,SOM_q2,SOM_q3,SOM_q4,SOM_q5,SOM_q6,SOM_q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Location Latitude,Location Longitude,Distribution Channel,User Language,Would you like to proceed to do the survey?,How often do you think about religious issues?,To what extent do you believe that God or something divine exists?,How interested are you in learning more about religious topics?,"To what extent do you believe in an afterlifee.g. immortality of the soul, resurrection of the dead or reincarnation?",How often do you take part in religious services?,Please answer the following questions. - How often do you pray?,Please answer the following questions. - How often do you meditate?,Please answer the following questions. - How important is it to take part in religious services?,Please answer the following questions. - How important is personal prayer for you?,Please answer the following questions. - How important is meditation for you?,Please answer the following questions. - How often do you experience situations in which you have the feeling that God or something divine intervenes in your life?,Please answer the following questions. - How often do you experience situations in which you have the feeling that God or something divine wants to communicate or to reveal something to you?,Please answer the following questions. - How often do you experience situations in which you have the feeling that you are touched by a divine power?,Please answer the following questions. - How often do you experience situations in which you have the feeling that you are in one with all?,"Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am feeling optimistic about life's challenges.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - Right now, I expect things to work out for the best.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am feeling optimistic about my future.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I feel that something good will happen today (in the next 24 hours).","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - The future is looking bright to me.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - At the moment, I expect things to go right than wrong when it comes to my future.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am expecting things to turn out well."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID53""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID13""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}"
7/22/2024 13:23,7/22/2024 13:24,0,205.175.106.6,100,48,1,7/22/2024 13:24,R_13yHfRExrYdftN3,,47.6631,-122.3029,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/22/2024 13:35,7/22/2024 13:39,0,205.175.106.24,100,199,1,7/22/2024 13:39,R_6MfXLYOm84yJQCo,,47.6631,-122.3029,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/22/2024 13:39,7/22/2024 13:42,0,205.175.106.24,100,192,1,7/22/2024 13:42,R_6Odkvb8cjEFwBWH,,47.6631,-122.3029,anonymous,EN,2,3,2,5,,,,,,,,,,,,,,,,,,
7/22/2024 14:00,7/22/2024 14:02,1,,100,150,1,7/22/2024 14:02,R_1P6hKbQmP46NeSJ,,47.6631,-122.3029,preview,EN,2,,,,,,,,,,,,,,,,,,,,,
7/22/2024 14:12,7/22/2024 14:16,0,174.196.72.157,100,223,1,7/22/2024 14:16,R_7JKJ6rI12OgKdG8,,39.9544,-75.1657,anonymous,EN,2,5,5,5,5,6,8,4,5,5,4,4,3,2,2,5,5,5,5,5,5,5
7/22/2024 14:46,7/22/2024 14:50,0,179.193.125.247,100,292,1,7/22/2024 14:50,R_7lGN3978qU6b2bX,,-30.0273,-51.2353,anonymous,EN,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,4,4,3,4,4,4
7/22/2024 14:44,7/22/2024 14:51,0,96.255.185.39,100,362,1,7/22/2024 14:51,R_5PohppEDXncr63W,,38.9275,-76.7153,anonymous,EN,2,5,5,5,5,6,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7/22/2024 16:17,7/22/2024 16:28,0,172.56.168.178,100,622,1,7/22/2024 16:28,R_1R9g4geSe0iIAFa,,38.5879,-121.4053,anonymous,EN,2,3,1,4,2,1,1,1,1,1,1,2,1,2,1,4,5,5,4,5,5,5
7/22/2024 18:35,7/22/2024 18:47,0,68.194.90.217,100,691,1,7/22/2024 18:47,R_3lyEmlazz3VAl4j,,40.6739,-73.9358,anonymous,EN,2,3,5,4,5,2,7,1,5,5,3,2,2,1,1,4,5,5,3,5,5,5
7/23/2024 08:00,7/23/2024 08:06,0,186.64.239.182,100,369,1,7/23/2024 08:06,R_5pEyjPXeQMj9q7F,,10.4519,-85.0938,anonymous,EN,2,4,5,4,5,5,8,3,4,5,3,5,4,4,4,3,5,4,5,4,4,5
7/23/2024 12:03,7/23/2024 12:11,0,71.188.90.77,100,446,1,7/23/2024 12:11,R_3GOOrdcgdLWNEel,,40.1994,-74.712,anonymous,EN,2,2,3,3,2,2,6,4,1,2,2,2,3,2,3,4,2,3,1,2,3,3
7/23/2024 12:22,7/23/2024 12:25,0,205.175.106.67,100,197,1,7/23/2024 12:25,R_1scfdWX5dHlSh3B,,47.6631,-122.3029,anonymous,EN,2,2,3,3,2,2,1,6,2,3,3,1,2,2,1,4,5,4,3,4,5,5
7/23/2024 12:22,7/23/2024 12:27,0,76.34.218.150,100,321,1,7/23/2024 12:27,R_1aWBsbiHHPXAqls,,42.1124,-80.0885,anonymous,EN,2,3,3,3,3,4,5,1,3,2,1,2,2,2,1,3,3,3,3,3,3,3
7/23/2024 12:39,7/23/2024 12:46,0,24.85.204.90,100,446,1,7/23/2024 12:46,R_7p3wigz9tHU27Oj,,49.1049,-122.824,anonymous,EN,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,4,3,4
7/23/2024 13:43,7/23/2024 13:48,0,131.246.228.62,100,329,1,7/23/2024 13:48,R_8Zoo9pH2VtuouGJ,,49.4346,7.7765,anonymous,EN,2,3,3,2,3,1,4,2,1,3,1,3,1,2,1,3,5,3,3,2,5,3
7/23/2024 14:44,7/23/2024 14:54,0,71.188.90.77,100,618,1,7/23/2024 14:54,R_6CjWAHKEtgFyKcl,,40.1994,-74.712,anonymous,EN,2,3,2,1,2,2,7,1,2,2,2,1,1,1,2,3,3,3,3,3,3,3
7/23/2024 16:00,7/23/2024 16:14,0,92.107.196.180,100,837,1,7/23/2024 16:14,R_8FKuhFg0IbvUOFb,,46.2075,6.1173,anonymous,EN,2,3,2,4,2,1,1,1,1,1,1,3,2,1,2,4,5,5,4,5,5,5
7/23/2024 17:29,7/23/2024 17:39,0,114.219.76.205,100,648,1,7/23/2024 17:39,R_6AzI4kycsF5O2Nb,,34.7732,113.722,anonymous,EN,2,3,4,3,3,2,2,6,1,4,5,4,2,3,3,5,5,5,5,5,5,5
7/23/2024 18:29,7/23/2024 18:36,0,39.144.156.255,100,380,1,7/23/2024 18:36,R_4bMhnE5oanWjyTf,,31.3093,120.602,anonymous,EN,2,2,4,4,4,3,6,8,3,5,5,4,4,4,4,5,5,5,5,5,5,5
7/23/2024 18:57,7/23/2024 19:09,0,114.48.187.166,100,706,1,7/23/2024 19:09,R_4YEUGcuDMziSwIx,,35.6897,139.6895,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,4,3
7/23/2024 19:21,7/23/2024 19:30,0,67.168.21.128,100,598,1,7/23/2024 19:30,R_5NKdssHAPcYOPVW,,47.7346,-122.3479,anonymous,EN,2,2,1,2,2,1,1,4,1,1,3,2,2,1,2,4,4,4,3,4,5,5
7/23/2024 19:52,7/23/2024 20:00,0,159.117.65.205,100,491,1,7/23/2024 20:00,R_4cb5BAGuBJ0zFGV,,25.0504,121.5324,anonymous,EN,2,5,5,5,5,6,8,1,5,5,2,5,4,4,4,4,4,4,4,4,2,4
7/23/2024 20:34,7/23/2024 20:46,0,137.22.90.93,100,716,1,7/23/2024 21:02,R_7H1ZCDLv9EzlW17,,44.4612,-93.1672,anonymous,EN,2,3,3,4,2,1,1,2,2,3,2,2,1,1,2,1,1,1,1,1,3,2
7/23/2024 23:13,7/23/2024 23:17,0,221.201.227.146,100,251,1,7/23/2024 23:17,R_4F4UUm7YzLHxEMx,,23.1181,113.2539,anonymous,EN,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,3,5,3,4,3,2,4
7/24/2024 00:52,7/24/2024 01:03,0,161.202.69.53,100,617,1,7/24/2024 01:03,R_4rkqwCZN1Y5P5kC,,35.6893,139.6899,anonymous,EN,2,4,5,1,5,1,1,4,1,1,2,2,2,3,1,5,1,1,4,1,3,3
7/24/2024 03:27,7/24/2024 03:29,0,24.21.240.246,100,77,1,7/24/2024 03:29,R_3gBcg506YmaeF32,,45.4805,-122.6363,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/24/2024 08:22,7/24/2024 08:29,0,49.72.17.127,100,396,1,7/24/2024 08:29,R_6pJRF2L9JTTSysP,,34.7732,113.722,anonymous,EN,2,3,4,3,5,2,4,5,1,2,4,5,3,3,3,5,4,4,5,4,5,4
7/24/2024 23:16,7/24/2024 23:26,0,72.89.156.199,100,557,1,7/24/2024 23:26,R_7xRfxakIWhkZt7Q,,40.8205,-73.9183,anonymous,EN,2,5,5,5,5,6,8,8,5,5,5,5,4,5,4,5,5,4,4,3,3,5
7/24/2024 23:35,7/24/2024 23:43,0,39.7.25.197,100,478,1,7/24/2024 23:43,R_4kkcipMV22n68Lf,,37.4873,126.9227,anonymous,EN,2,4,4,3,4,3,3,4,3,2,3,3,3,3,4,4,5,2,5,2,5,5
7/24/2024 23:34,7/24/2024 23:50,0,114.218.104.206,100,935,1,7/24/2024 23:50,R_1MNjezViBulK1xL,,34.7732,113.722,anonymous,EN,2,4,5,5,5,2,7,8,2,4,5,5,5,5,5,3,3,4,3,4,4,3
7/24/2024 23:40,7/24/2024 23:52,0,39.144.156.149,100,684,1,7/24/2024 23:52,R_4NsH0Mkgra3YI0h,,31.3093,120.602,anonymous,EN,2,2,3,2,4,2,3,4,2,3,4,4,3,3,3,3,3,2,3,2,3,3
7/24/2024 23:46,7/24/2024 23:53,0,183.192.224.27,100,410,1,7/24/2024 23:53,R_41gBAmPhD3LliLE,,31.2222,121.4581,anonymous,EN,2,3,4,2,2,1,1,1,1,1,1,3,2,3,3,2,3,3,4,4,3,3
7/24/2024 23:35,7/24/2024 23:39,0,39.7.24.74,100,273,1,7/25/2024 00:04,R_415mLWtUTciSQsc,,37.4873,126.9227,anonymous,EN,2,2,3,2,2,2,1,1,2,1,1,2,3,2,2,4,5,5,4,4,5,5
7/25/2024 01:12,7/25/2024 01:17,0,39.185.214.141,100,282,1,7/25/2024 01:17,R_46lOCSPRfNnvhAb,,29.8752,121.5564,anonymous,EN,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,4,2,4,3,4,4,2
7/25/2024 02:00,7/25/2024 02:03,0,103.167.134.157,100,148,1,7/25/2024 02:03,R_4cnJES7BlRjlJlJ,,22.2578,114.1657,anonymous,EN,2,2,3,2,3,2,1,4,2,2,3,2,2,2,2,4,4,4,4,4,4,4
7/25/2024 06:34,7/25/2024 06:41,0,114.220.80.219,100,403,1,7/25/2024 06:41,R_7c0Yl1F9AX72pKz,,31.3093,120.602,anonymous,EN,2,3,2,4,3,1,2,1,2,2,1,2,1,2,3,4,4,4,3,4,4,3
7/25/2024 09:10,7/25/2024 09:13,0,76.34.218.150,100,197,1,7/25/2024 09:13,R_3kjs9VFHysMi3rO,,42.1124,-80.0885,anonymous,EN,2,3,2,2,2,1,2,2,1,1,2,2,2,2,2,4,4,4,4,4,4,4
7/25/2024 15:44,7/25/2024 15:45,0,172.56.198.61,100,31,1,7/25/2024 15:45,R_7hrwedIleKKeif5,,42.2903,-71.0798,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/25/2024 15:45,7/25/2024 15:47,0,172.56.198.61,100,160,1,7/25/2024 15:47,R_5oRAVzcTlPxGGC6,,42.2903,-71.0798,anonymous,EN,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,3,4,3,4
7/25/2024 17:26,7/25/2024 17:38,0,64.159.140.88,100,689,1,7/25/2024 17:38,R_52C3WnD2Mhh0XMl,,47.6631,-122.3029,anonymous,EN,2,3,3,3,3,2,3,5,2,2,4,3,2,3,3,4,4,4,4,4,4,4
7/22/2024 16:57,7/26/2024 19:53,0,174.168.29.164,100,356191,1,7/26/2024 19:53,R_1gtsvdva3ZWDqDL,,42.3725,-71.1814,anonymous,EN,2,3,5,3,5,6,8,5,5,5,4,5,4,3,4,3,4,5,4,5,5,4
7/26/2024 20:28,7/26/2024 20:28,0,130.64.64.34,100,48,1,7/26/2024 20:28,R_7wlLXK0DP4iYiWZ,,42.4178,-71.1134,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/29/2024 11:21,7/29/2024 11:29,0,76.179.74.59,100,456,1,7/29/2024 11:29,R_5Ue8yryPtiBmQ2B,,43.5825,-70.3513,anonymous,EN,2,4,5,5,5,4,5,8,5,5,5,5,3,4,3,5,5,5,3,5,3,5
7/22/2024 13:42,7/22/2024 14:19,0,205.175.106.24,53,2197,0,7/29/2024 14:19,R_6BPk2Pm9pBf1lQT,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/22/2024 14:54,7/22/2024 14:56,0,73.177.110.109,63,116,0,7/29/2024 14:56,R_1xZe9r7Sy3GKKiJ,,,,anonymous,EN,2,5,5,4,5,6,8,1,5,5,1,4,4,3,1,,,,,,,
7/23/2024 13:42,7/23/2024 13:43,0,68.99.189.210,8,41,0,7/30/2024 13:43,R_3eXpC7AbgGUoTcS,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/23/2024 16:12,7/23/2024 16:56,0,112.3.169.168,76,2641,0,7/30/2024 16:56,R_4f9dyRLJ9Pqrabg,,,,anonymous,EN,2,3,2,2,2,1,3,2,1,1,2,1,1,1,1,2,2,2,4,4,2,2
7/23/2024 19:03,7/23/2024 19:03,0,121.228.157.137,8,16,0,7/30/2024 19:03,R_5f8ZePhqWnqAEo1,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/23/2024 19:29,7/23/2024 19:29,0,112.81.60.99,8,35,0,7/30/2024 19:30,R_40nFo4mLnbjImLD,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/23/2024 20:27,7/23/2024 20:28,0,112.96.51.121,8,25,0,7/30/2024 20:28,R_4rVDRYZp5aZXtXm,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/24/2024 01:42,7/24/2024 01:44,0,178.197.239.108,76,98,0,7/31/2024 03:25,R_2vZ7R8RNSJOzkk1,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/24/2024 00:47,7/24/2024 00:51,0,161.202.69.53,63,268,0,7/31/2024 05:10,R_44eJ4QTfFnGlmia,,,,anonymous,EN,2,4,5,1,3,1,1,6,1,1,2,5,4,2,1,,,,,,,
7/24/2024 03:29,7/24/2024 03:29,0,24.21.240.246,8,8,0,7/31/2024 05:17,R_33uCUZYQwoNbjHz,,,,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/31/2024 06:07,7/31/2024 06:08,0,118.235.0.53,100,38,1,7/31/2024 06:08,R_4lsOMwkBxFEPAgD,,37.5079,127.1177,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/31/2024 06:08,7/31/2024 06:15,0,118.235.0.53,100,426,1,7/31/2024 06:15,R_4qJ9uF5rW4RZKH4,,37.5079,127.1177,anonymous,EN,2,5,5,4,5,6,8,8,4,5,5,5,5,5,2,5,5,4,5,4,5,4